TSEcod;IBGEcod;Municipio;UF;COD_UF_IBGE;UF_MUN;MAPA_2010;ELE_MUN_2008
05932;1501758;BREJO GRANDE DO ARAGUAIA;PA;15;PA_BREJO GRANDE DO ARAGUAIA;SIM;SIM
04448;1501782;BREU BRANCO;PA;15;PA_BREU BRANCO;SIM;SIM
04359;1501808;BREVES;PA;15;PA_BREVES;SIM;SIM
04375;1501907;BUJARU;PA;15;PA_BUJARU;SIM;SIM
04766;1501956;CACHOEIRA DO PIRIA;PA;15;PA_CACHOEIRA DO PIRIA;SIM;SIM
04391;1502004;CACHOEIRA DO ARARI;PA;15;PA_CACHOEIRA DO ARARI;SIM;SIM
04413;1502103;CAMETA;PA;15;PA_CAMETA;SIM;SIM
04707;1502152;CANAA DOS CARAJAS;PA;15;PA_CANAA DOS CARAJAS;SIM;SIM
04430;1502202;CAPANEMA;PA;15;PA_CAPANEMA;SIM;SIM
04456;1502301;CAPITAO POCO;PA;15;PA_CAPITAO POCO;SIM;SIM
04472;1502400;CASTANHAL;PA;15;PA_CASTANHAL;SIM;SIM
04499;1502509;CHAVES;PA;15;PA_CHAVES;SIM;SIM
04510;1502608;COLARES;PA;15;PA_COLARES;SIM;SIM
04537;1502707;CONCEICAO DO ARAGUAIA;PA;15;PA_CONCEICAO DO ARAGUAIA;SIM;SIM
05819;1502756;CONCORDIA DO PARA;PA;15;PA_CONCORDIA DO PARA;SIM;SIM
04529;1502764;CUMARU DO NORTE;PA;15;PA_CUMARU DO NORTE;SIM;SIM
05851;1502772;CURIONOPOLIS;PA;15;PA_CURIONOPOLIS;SIM;SIM
04553;1502806;CURRALINHO;PA;15;PA_CURRALINHO;SIM;SIM
04740;1502855;CURUA;PA;15;PA_CURUA;SIM;SIM
04570;1502905;CURUCA;PA;15;PA_CURUCA;SIM;SIM
05975;1502939;DOM ELISEU;PA;15;PA_DOM ELISEU;SIM;SIM
04120;1502954;ELDORADO DOS CARAJAS;PA;15;PA_ELDORADO DOS CARAJAS;SIM;SIM
04596;1503002;FARO;PA;15;PA_FARO;SIM;SIM
04561;1503044;FLORESTA DO ARAGUAIA;PA;15;PA_FLORESTA DO ARAGUAIA;SIM;SIM
05878;1503077;GARRAFAO DO NORTE;PA;15;PA_GARRAFAO DO NORTE;SIM;SIM
